orden,municipio,departamento
778,Sáchica,Boyacá
779,Sahagún,Córdoba
780,Saladoblanco,Huila
781,Salamina,Caldas
782,Salamina,Magdalena
783,Salazar,Norte De Santander
784,Saldaña,Tolima
785,Salento,Quindio
786,Salgar,Antioquia
787,Samacá,Boyacá
788,Samaná,Caldas
789,Samaniego,Nariño
790,Sampués,Sucre
791,San Agustín,Huila
792,San Alberto,Cesar
793,San Andrés,Santander
794,San Andrés,"Archipiélago De San Andrés, Providencia Y Santa Catalina"
795,San Andrés De Cuerquía,Antioquia
796,San Andrés De Sotavento,Córdoba
797,San Andrés De Tumaco,Nariño
798,San Antero,Córdoba
799,San Antonio,Tolima
800,San Antonio Del Tequendama,Cundinamarca
801,San Benito,Santander
802,San Benito Abad,Sucre
803,San Bernardo,Cundinamarca
804,San Bernardo,Nariño
805,San Bernardo Del Viento,Córdoba
806,San Calixto,Norte De Santander
807,San Carlos,Antioquia
808,San Carlos,Córdoba
809,San Carlos De Guaroa,Meta
810,San Cayetano,Cundinamarca
811,San Cayetano,Norte De Santander
812,San Cristóbal,Bolívar
813,San Diego,Cesar
814,San Eduardo,Boyacá
815,San Estanislao,Bolívar
816,San Fernando,Bolívar
817,San Francisco,Antioquia
818,San Francisco,Cundinamarca
819,San Francisco,Putumayo
820,San Gil,Santander
821,San Jacinto,Bolívar
822,San Jacinto Del Cauca,Bolívar
823,San Jerónimo,Antioquia
824,San Joaquín,Santander
825,San José,Caldas
826,San José De La Montaña,Antioquia
827,San José De Miranda,Santander
828,San José De Pare,Boyacá
829,San José De Uré,Córdoba
830,San José Del Fragua,Caquetá
831,San José Del Guaviare,Guaviare
832,San José Del Palmar,Chocó
833,San Juan De Arama,Meta
834,San Juan De Betulia,Sucre
835,San Juan De Rioseco,Cundinamarca
836,San Juan De Urabá,Antioquia
837,San Juan Del Cesar,La Guajira
838,San Juan Nepomuceno,Bolívar
839,San Juanito,Meta
840,San Lorenzo,Nariño
841,San Luis,Antioquia
842,San Luis,Tolima
843,San Luis De Cubarral,Meta
844,San Luis De Gaceno,Boyacá
845,San Luis De Palenque,Casanare
846,San Luis De Sincé,Sucre
847,San Marcos,Sucre
848,San Martín,Cesar
849,San Martín,Meta
850,San Martín De Loba,Bolívar
851,San Mateo,Boyacá
852,San Miguel,Santander
853,San Miguel,Putumayo
854,San Miguel De Sema,Boyacá
855,San Onofre,Sucre
856,San Pablo,Bolívar
857,San Pablo,Nariño
858,San Pablo De Borbur,Boyacá
859,San Pedro,Sucre
860,San Pedro,Valle Del Cauca
861,San Pedro De Cartago,Nariño
862,San Pedro De Los Milagros,Antioquia
863,San Pedro De Urabá,Antioquia
864,San Pelayo,Córdoba
865,San Rafael,Antioquia
866,San Roque,Antioquia
867,San Sebastián,Cauca
868,San Sebastián De Buenavista,Magdalena
869,San Sebastián De Mariquita,Tolima
870,San Vicente De Chucurí,Santander
871,San Vicente Del Caguán,Caquetá
872,San Vicente Ferrer,Antioquia
873,San Zenón,Magdalena
874,Sandoná,Nariño
875,Santa Ana,Magdalena
876,Santa Bárbara,Antioquia
877,Santa Bárbara,Nariño
878,Santa Bárbara,Santander
879,Santa Bárbara De Pinto,Magdalena
880,Santa Catalina,Bolívar
881,Santa Fé De Antioquia,Antioquia
882,Santa Helena Del Opón,Santander
883,Santa Isabel,Tolima
884,Santa Lucía,Atlántico
885,Santa María,Boyacá
886,Santa María,Huila
887,Santa Marta,Magdalena
888,Santa Rosa,Bolívar
889,Santa Rosa,Cauca
890,Santa Rosa De Cabal,Risaralda
891,Santa Rosa De Osos,Antioquia
892,Santa Rosa De Viterbo,Boyacá
893,Santa Rosa Del Sur,Bolívar
894,Santa Rosalía,Vichada
895,Santa Sofía,Boyacá
896,Santacruz,Nariño
897,Santana,Boyacá
898,Santander De Quilichao,Cauca
899,Santiago,Norte De Santander
900,Santiago,Putumayo
901,Santiago De Tolú,Sucre
902,Santo Domingo,Antioquia
903,Santo Tomás,Atlántico
904,Santuario,Risaralda
905,Sapuyes,Nariño
906,Saravena,Arauca
907,Sardinata,Norte De Santander
908,Sasaima,Cundinamarca
909,Sativanorte,Boyacá
910,Sativasur,Boyacá
911,Segovia,Antioquia
912,Sesquilé,Cundinamarca
913,Sevilla,Valle Del Cauca
914,Siachoque,Boyacá
915,Sibaté,Cundinamarca
916,Sibundoy,Putumayo
917,Silos,Norte De Santander
918,Silvania,Cundinamarca
919,Silvia,Cauca
920,Simacota,Santander
921,Simijaca,Cundinamarca
922,Simití,Bolívar
923,Sincelejo,Sucre
924,Sipí,Chocó
925,Sitionuevo,Magdalena
926,Soacha,Cundinamarca
927,Soatá,Boyacá
928,Socha,Boyacá
929,Socorro,Santander
